FacilityName,LicenseNumber,Status,IssueDate,StatusEffectivedate,LastRenewalDate,zipcode,City
MED-FAST PHARMACY,PP481254,Active,2003-06-10,2003-06-10,2019-08-15,15235,PITTSBURGH
MED-FAST PHARMACY INSTITUTIONAL,PP415600L,Active,1999-12-22,2001-06-18,2019-07-24,15001,ALIQUIPPA
MEDICAL ARTS PHARMACY,PP482842,Active,2019-01-08,2019-01-08,2019-07-17,17013,CARLISLE
MEDICAL ONCOLOGY CLEARFIELD PHARMACY,PP482285,Active,2012-05-23,2012-05-23,2019-08-05,16830,CLEARFIELD
MEDICAL TOWER PHARMACY INC,PP410793L,Active,1978-04-11,2001-06-18,2019-08-02,19103,PHILADELPHIA
MEDICAP PHARMACY,PP481601,Active,2006-11-01,2006-11-01,2019-08-26,18104,ALLENTOWN
MEDICAP PHARMACY,PP414136L,Active,1989-01-10,2001-06-18,2019-07-16,15209,PITTSBURGH
MEDICAP PHARMACY,PP481411,Active,2004-12-10,2017-02-02,2019-07-16,18447,OLYPHANT
MEDICAP PHARMACY 291,PP481227,Active,2003-02-25,2003-02-25,2019-08-28,16511,ERIE
MEDICINE SHOPPE,PP481129,Active,2002-05-21,2002-05-21,2019-08-16,17055,MECHANICSBURG
MEDICINE SHOPPE,PP410439L,Active,1977-07-18,2001-06-18,2019-08-05,19403,JEFFERSONVILLE
MEDICINE SHOPPE 1865,PP481575,Active,2006-03-31,2012-09-17,2019-08-16,17104,HARRISBURG
MEDICINE STOP,PP414229L,Active,1989-10-04,2001-06-18,2019-08-07,15010,BEAVER FALLS
MEDLY PHARMACY PA INC,PP482489,Active,2014-06-19,2019-05-01,2019-07-17,19149,PHILADELPHIA
MEDMART PHARMACY,PP415760L,Active,2001-04-02,2001-06-18,2019-08-02,15425,CONNELLSVILLE
MEDSPACK LLC,PP482808,Active,2018-08-09,2018-08-09,2019-08-02,17401,YORK
MEDVED'S PHARMACY,PP410854L,Active,1977-08-01,2001-06-18,2019-07-25,15022,CHARLEROI
MEL'S DRUG WORLD,PP413592L,Active,1977-08-12,2001-06-18,2019-08-05,19008,BROOMALL
MERCER PHARMACY,PP482176,Active,2011-08-09,2011-08-09,2019-07-29,16137,MERCER
MERCY FITZGERALD HOSPITAL PHARMACY,HP418068L,Active,1977-07-25,2001-06-18,2019-08-16,19023,DARBY
MERCY PHARMACY,PP482255,Active,2012-06-22,2012-06-22,2019-07-22,19023,DARBY
MERCY PHILADELPHIA HOSPITAL,HP418132L,Active,1977-07-25,2001-06-18,2019-08-01,19143,PHILADELPHIA
METHODIST HOSPITAL APOTHECARY,PP481395,Active,2004-12-28,2011-11-08,2019-07-24,19148,PHILADELPHIA
METHODIST HOSPITAL DIVISION -THOMAS JEFFERSON UNIVERSITY HOSPITALS INC,HP418129L,Active,1977-07-14,2001-06-18,2019-07-24,19148,PHILADELPHIA
METRO CARE PHARMACY INC,PP482165,Active,2011-11-10,2012-10-16,2019-07-16,19149,PHILADELPHIA
MIDDLETOWN PHARMACY & GIFT SHOP,PP415459L,Active,1998-11-06,2001-06-18,2019-07-17,17057,MIDDLETOWN
MIKES PHARMACY,PP410879L,Active,1978-09-27,2001-06-18,2019-08-03,17067,MYERSTOWN
"MILL HALL PHARMACY, INC.",PP411950L,Active,1977-08-19,2001-06-18,2019-07-31,17751,MILL HALL
MILL RUN COMMUNITY PHARMACY,PP481691,Active,2007-06-12,2007-06-12,2019-07-22,16335,MEADVILLE
MILL STREET PHARMACY,PP481655,Active,2006-11-02,2006-11-02,2019-07-25,19007,BRISTOL
MILLCREEK COMMUNITY HOSPITAL,HP418064L,Active,1977-07-08,2001-06-18,2019-07-31,16509,ERIE
MILLCREEK MANOR PHARMACY,PP482569,Active,2015-07-29,2015-07-29,2019-07-16,16509,ERIE
MILLERS PHARMACY,PP411594L,Active,1977-07-18,2001-06-18,2019-07-26,18853,WYALUSING
MILLERSBURG PHARMACY INC,PP412471L,Active,1981-04-29,2001-06-18,2019-07-16,17061,MILLERSBURG
MINERSVILLE PHARMACY,PP482314,Active,2012-10-18,2012-10-18,2019-08-05,17954,MINERSVILLE
MINNICHS COLONIAL PHARMACY,PP411604L,Active,1977-07-27,2001-06-18,2019-07-25,17403,YORK
MINNICH'S CONTINUING CARE PHARMACY,PP482843,Active,2019-01-23,2019-01-23,2019-07-29,17403,YORK
MODNUR PRESCRIPTION PHARMACY INC,PP411136L,Active,1977-08-16,2001-06-18,2019-07-22,17236,MERCERSBURG
MODNURX INC PHARMACY,PP410754L,Active,1978-02-15,2001-06-18,2019-07-22,17252,ST THOMAS
MONONGAHELA VALLEY HOSPITAL PHARMACY,HP418231L,Active,1977-08-01,2005-02-08,2019-07-18,15063,MONONGAHELA
MONTGOMERY PHARMACY,PP411587L,Active,1977-07-19,2001-06-18,2019-07-23,17752,MONTGOMERY
MONTGOMERYS PHARMACY,PP411615L,Active,1977-09-22,2006-11-02,2019-07-23,17737,HUGHESVILLE
MONTROSE MEDICAL ARTS PHARMACY,PP411551L,Active,1977-07-22,2001-06-18,2019-07-16,18801,MONTROSE
MONUMENT PHARMACY,PP482796,Active,2018-06-06,2018-06-06,2019-08-02,19131,PHILADELPHIA
MORRIS DRUGS,PP411626L,Active,1977-07-11,2001-06-18,2019-07-16,17948,MAHANOY CITY
MORRISON PHARMACY,PP411134L,Active,1977-08-31,2001-06-18,2019-07-31,19128,PHILADELPHIA
MORRISON TOWERS PHARMACY LLC,PP482485,Active,2014-12-02,2014-12-02,2019-08-08,17101,HARRISBURG
MOSES TAYLOR HOSPITAL PHARMACY,HP418136L,Active,1977-07-08,2003-04-18,2019-07-16,18510,SCRANTON
MOSHANNON VALLEY PHARMACY,PP412361L,Active,1981-07-14,2001-06-18,2019-07-21,16874,SNOW SHOE
MOSHANNON VALLEY PHARMACY,PP411114L,Active,1977-07-29,2016-04-19,2019-07-21,16866,PHILIPSBURG
MOSSREHAB EINSTEIN AT ELKINS PARK PHARMACY,HP418167L,Active,1977-08-30,2001-06-18,2019-07-18,19027,ELKINS PARK
MOUNT MORRIS PHARMACY,PP482471,Active,2014-04-02,2014-04-02,2019-07-23,15349,MOUNT MORRIS
MOUNT NITTANY MEDICAL CENTER PHARMACY,HP418242L,Active,1977-07-12,2001-06-18,2019-07-16,16803,STATE COLLEGE
MOUNTAIN CITY HOME PHARMACY,PP415011L,Active,1995-04-11,2018-05-22,2019-07-16,16601,ALTOONA
MOUNTAIN VIEW PHARMACY,PP481941,Active,2009-08-25,2009-08-25,2019-07-23,17764,RENOVO
MR PHARMACY,PP413079L,Active,1984-12-21,2001-06-18,2019-07-16,19133,PHILADELPHIA
MT BETHEL PHARMACY INC,PP482881,Active,2019-04-11,2019-04-11,2019-07-19,18343,MT BETHEL
"MURRAY AVENUE APOTHECARY, INC.",PP481716,Active,2007-03-29,2007-03-29,2019-08-05,15217,PITTSBURGH
MURRAYS OVERHILL PHARMACY,PP411657L,Active,1977-08-17,2001-06-18,2019-07-22,19063,MEDIA
MY PHARMACY,PP482267,Active,2012-05-01,2012-05-01,2019-07-29,19104,PHILADELPHIA
MYERS DRUG STORE,PP411666L,Active,1977-07-20,2001-06-18,2019-07-22,19401,NORRISTOWN
N D PHARMACY,PP414389L,Active,1990-11-29,2001-06-18,2019-08-05,19141,PHILADELPHIA
NASON HOSPITAL PHARMACY,HP418343L,Active,1980-08-11,2001-06-18,2019-07-16,16673,ROARING-SPG
NATIONAL PHARMACY SOLUTIONS,PP482232,Active,2013-01-11,2013-01-11,2019-08-05,19026,DREXEL HILL
NAZARETH HOSPITAL PHARMACY,HP418138L,Active,1977-08-15,2001-06-18,2019-07-23,19152,PHILADELPHIA
NCS PHARMACY,PP482855,Active,2019-02-25,2019-02-25,2019-07-16,17602-4369,LANCASTER
NEFF SURGICAL PHARMACY,PP410983L,Active,1977-07-11,2001-06-18,2019-07-16,19107,PHILADELPHIA
NEIGHBORHOOD PHARMACY,PP481924,Active,2009-05-21,2014-04-01,2019-08-07,19139,PHILADELPHIA
NELL'S PHARMACY SPRY,PP415170L,Active,1996-06-25,2001-06-18,2019-07-17,17403,YORK
NESHAMINY PHARMACY,PP481835,Active,2008-05-15,2008-05-15,2019-07-18,19020,BENSALEM
NEW CARE PHARMACY,PP481467,Active,2005-09-09,2005-09-09,2019-08-06,19053,FEASTERVILLE 
NEW CASTLE PHARMACY,PP482028,Active,2010-06-01,2010-06-01,2019-07-29,16101,NEW CASTLE
NEW LIBERTY PHARMACY,PP482318,Active,2012-11-20,2018-06-15,2019-07-17,18102,ALLENTOWN
NEW STANTON PHARMACY,PP414238L,Active,1989-11-08,2001-06-18,2019-08-02,15672,NEW STANTON
NEWHARD PHARMACY,PP411691L,Active,1977-07-14,2013-06-05,2019-08-05,18067,NORTHAMPTON
NEWHARD PHARMACY LTC,PP481215,Active,2003-03-14,2003-03-14,2019-08-05,18067,NORTHAMPTON
NEWTOWN SQUARE APOTHECARY,PP482777,Active,2018-03-09,2018-03-09,2019-07-17,19073,NEWTOWN SQUARE
NEXCARE PHARMACY II INC,PP482612,Active,2016-01-06,2017-01-20,2019-08-02,19134,PHILADELPHIA
NEXCARE PHARMACY INC.,PP482574,Active,2015-08-07,2015-08-07,2019-08-02,19133,PHILADELPHIA
NICE PHARMACY,PP415588L,Active,1999-11-03,2001-06-18,2019-07-16,19134,PHILADELPHIA
NICKMANS DRUG,PP481096,Active,2001-12-05,2001-12-05,2019-07-16,15425,CONNELLSVILLE
NICKMAN'S DRUG,PP482406,Active,2013-11-25,2013-11-25,2019-08-03,15461,MASONTOWN
NICKMAN'S DRUG,PP413125L,Active,1977-07-29,2001-06-18,2019-07-30,15445,HOPWOOD
NICKMAN'S DRUG,PP410720L,Active,1977-09-09,2001-06-18,2019-08-03,15436,FAIRCHANCE
NICKMANS DRUG INC,PP413604L,Active,1977-07-20,2001-06-18,2019-08-03,15456,LEMONT FURNACE
NOCKLEY FAMILY PHARMACY,PP481678,Active,2007-01-09,2007-01-09,2019-08-13,18706,HANOVER TOWNSHIP
NOCKLEY FAMILY PHARMACY,PP482826,Active,2018-10-30,2018-10-30,2019-08-19,18504,SCRANTON
"NORLAND AVENUE PHARMACY, LLC",PP415735L,Active,2001-01-22,2001-06-18,2019-07-17,17201,CHAMBERSBURG
NORRISTOWN STATE HOSPITAL PHARMACY,HP417021L,Active,1977-07-19,2001-06-18,2019-08-02,19401,NORRISTOWN
NORRY PHARMACY,PP413702L,Active,1985-09-04,2001-06-18,2019-08-13,17857,NORTHUMBERLND
NORTH PHILLY PHARMACY,PP481505,Active,2005-10-06,2013-05-14,2019-08-05,19122,PHILADELPHIA
NORTH SHORE HEALTH MART PHARMACY,PP482877,Active,2019-04-02,2019-04-02,2019-07-30,15212,PITTSBURGH
NORTH WALES FAMILY PHARMACY,PP482630,Active,2016-03-28,2016-03-28,2019-07-27,19454,NORTH WALES
NORTHEAST DISCOUNT PHARMACY,PP482269,Active,2012-04-23,2012-04-23,2019-08-02,19124,PHILADELPHIA
NORTHEAST PHARMACY SERVICES INC,PP415689L,Active,2000-10-30,2001-06-18,2019-07-16,18235,LEHIGHTON
NORTHERN BEDFORD PHARMACY,PP481919,Active,2009-05-28,2009-05-28,2019-07-30,16664,NEW ENTERPRISE
NORTHWEST COMMUNITY PHARMACY,PP482508,Active,2015-03-12,2015-03-12,2019-07-19,16335,MEADVILLE
NORTHWEST PHARMACY SOLUTIONS LLC,PP481519,Active,2005-11-22,2005-11-22,2019-07-19,16335,MEADVILLE
NORVELT PHARMACY,PP411708L,Active,1977-08-15,2001-06-18,2019-07-16,15674,NORVELT
NOVA STAR PHARMACY,PP482352,Active,2013-03-20,2013-03-20,2019-07-17,19125,PHILADELPHIA
NU-WAY PHARMACY,PP413456L,Active,1977-08-19,2016-01-13,2019-07-23,19055,LEVITTOWN
OAK LANE PHARMACY INC,PP481792,Active,2008-03-06,2008-03-06,2019-08-02,19126,PHILADELPHIA
OAKSIDE CARE PHARMACY,PP482357,Active,2013-04-26,2013-04-26,2019-07-29,19601,READING
OHIO VALLEY GENERAL HOSPITAL PHARMACY,HP418142L,Active,1977-08-11,2001-06-18,2019-07-16,15136,MCKEES ROCKS
OLD FORGE PHARMACY,PP482577,Active,2015-08-12,2015-08-12,2019-07-19,18518,OLD FORGE
OLDE PHILLY PHARMACY,PP481544,Active,2006-02-15,2006-02-15,2019-08-10,19134,PHILADELPHIA
OLDE PHILLY PHARMACY - FISHTOWN,PP482381,Active,2013-05-29,2017-07-10,2019-08-06,19145,PHILADELPHIA
OMNI PHARMACY,PP482570,Active,2015-07-30,2015-07-30,2019-07-19,19428,CONSHOHOCKEN
OMNICARE OF GREENSBURG,PP415297L,Active,1997-08-21,2001-06-18,2019-07-22,15601,GREENSBURG
OMNICARE OF KING OF PRUSSIA,PP413534L,Active,1977-08-17,2001-06-18,2019-07-22,19406,KING OF PRUSSIA
OMNICARE OF PITTSBURGH,PP413803L,Active,1986-06-17,2007-09-05,2019-07-22,15205,PITTSBURGH
OMNICARE OF SCRANTON,PP481236,Active,2003-05-07,2003-05-07,2019-07-25,18505,SCRANTON
OMNICARE OF TOPTON,PP414524L,Active,1991-10-30,2001-06-18,2019-07-25,19562,TOPTON
OMNICARE OF WILLIAMSPORT,PP416502L,Active,1982-06-24,2011-11-07,2019-07-22,17701,WILLIAMSPORT
ONCOLOGY PHARMACY,PP481210,Active,2003-02-12,2003-02-12,2019-07-18,15905,JOHNSTOWN
OPTION CARE,PP415196L,Active,1996-08-29,2001-06-18,2019-07-18,15146,MONROEVILLE
OPTION CARE,PP414516L,Active,1991-10-29,2001-06-18,2019-08-07,17112,HARRISBURG
OPTION CARE,PP415196L,Active,1996-08-29,2001-06-18,2019-07-18,15146,MONROEVILLE
"OPTION CARE INFUSION SUITES,  LLC",PP482905,Active,2019-07-19,2019-07-19,,19047,LANGHORNE
ORBY PHARMACY INC,PP413562L,Active,1983-08-11,2001-06-18,2019-07-23,17243,ORBISONIA
OSS ORTHOPAEDIC HOSPITAL,PP482020,Active,2010-08-27,2010-08-27,2019-08-08,17402,YORK
OTT AND MCHENRY PHARMACY,PP411739L,Active,1977-08-19,2001-06-18,2019-08-12,16701,BRADFORD
OUTLOOK PHARMACY SERVICES,PP482453,Active,2014-04-17,2014-04-17,2019-08-01,19611,WEST READING
OVERBROOK PLAZA PHARMACY,PP482054,Active,2010-08-23,2019-05-15,2019-08-09,19131,PHILADELPHIA
OXFORD CIRCLE PHARMACY,PP410932L,Active,1977-09-02,2001-06-18,2019-07-23,19124,PHILADELPHIA
OXFORD PHARMACY,PP481440,Active,2005-04-19,2005-05-03,2019-07-31,19140,PHILADELPHIA
OXFORD VALLEY PHARMACY,PP415548L,Active,1999-08-05,2014-06-13,2019-08-01,19030,FAIRLESS HILLS
PA SOLDIERS & SAILORS HOME PHARMACY,HP417045L,Active,1983-10-27,2001-06-18,2019-08-02,16507,ERIE
PACKER APOTHECARY,PP482031,Active,2010-07-22,2010-07-22,2019-07-30,19145,PHILADELPHIA
PAGODA PHARMACY,PP482677,Active,2016-09-14,2016-09-14,2019-08-12,19604,READING
PALMER PHARMACY LLC,PP411760L,Active,1977-07-13,2001-06-18,2019-07-25,15076,RUSSELLTON
PALMYRA PHARMACY AND GIFT SHOP,PP411871L,Active,1977-07-08,2001-06-18,2019-07-16,17078,PALMYRA
PAM SPECIALTY HOSPITAL OF WILKES-BARRE,PP482519,Active,2014-11-12,2014-11-12,2019-07-23,18764,WILKES BARRE
PANTHER CREEK PHARMACY,PP482837,Active,2018-12-18,2018-12-18,2019-08-06,18240,NESQUEHONING
PANTHERX SPECIALTY PHARMACY,PP482247,Active,2012-04-02,2015-05-05,2019-07-16,15275,PITTSBURGH
PANTHERX SPECIALTY PHARMACY,PP482876,Active,2019-04-02,2019-04-02,2019-07-16,15108,CORAOPOLIS
PAOLI APOTHECARY,PP481424,Active,2005-02-03,2005-02-03,2019-07-22,19301,PAOLI
PAOLI HOSPITAL,HP418146L,Active,1977-07-19,2001-06-18,2019-07-16,19301,PAOLI
PAOLI PHARMACY,PP411764L,Active,1977-08-02,2001-06-18,2019-07-22,19301,PAOLI
PARK AVENUE PHARMACY,PP411765L,Active,1977-07-11,2001-06-18,2019-07-22,17201,CHAMBERSBURG
PARKWOOD STREET ROAD PHARMACY,PP411780L,Active,1977-09-02,2001-06-18,2019-07-31,19020,BENSALEM
PARRISH APOTHECARY SHOP,PP411782L,Active,1977-08-25,2001-06-18,2019-07-18,16823,BELLEFONTE
PARTNERS PHARMACY,PP481845,Active,2008-09-15,2008-09-15,2019-07-26,18020,BETHLEHEM
PARVINS PHARMACY,PP411784L,Active,1977-08-02,2001-06-18,2019-07-16,19010,BRYN MAWR
PATIENT CARE PHARMACY,PP482496,Active,2014-08-01,2014-08-01,2019-07-31,19601,READING
PATIENT CARE PHARMACY,PP482665,Active,2016-07-19,2016-07-19,2019-08-05,19147,PHILADELPHIA
PATIENT CARE PHARMACY,PP482729,Active,2017-06-15,2017-06-15,2019-07-31,17603,LANCASTER
PATIENT DIRECT RX,PP482173,Active,2011-09-15,2011-09-15,2019-08-12,19044,HORSHAM
PATRIOT PHARMACY,PP482844,Active,2019-02-04,2019-02-04,2019-08-12,19132,PHILADELPHIA
PATTON PHARMACY AND V & S VARIETY,PP413554L,Active,1977-08-09,2001-06-18,2019-07-22,16668,PATTON
PAUL B MACDONALDS PHARMACY INC,PP411441L,Active,1977-07-14,2017-11-03,2019-07-16,17233,MC CONNELLSBURG
PBC PHARMACY INC,PP413269L,Active,1983-01-25,2001-06-18,2019-08-08,19438,HARLEYSVILLE
PCA MISSION PHARMACY,PP415696L,Active,2000-08-28,2001-06-18,2019-07-17,16201,KITTANNING
PDC PHARMACY,PP415634L,Active,2000-03-21,2001-06-18,2019-07-23,15238,PITTSBURGH
PDC PHARMACY,PP482822,Active,2018-10-02,2018-10-02,2019-07-23,16501,ERIE
PDC PHARMACY,PP481293,Active,2003-11-06,2003-11-06,2019-07-23,19403,NORRISTOWN
PECHIN PHARMACY,PP481126,Active,2002-06-14,2002-06-14,2019-07-30,15425,CONNELLSVILLE
PELHAM PHARMACY,PP482192,Active,2011-09-01,2011-09-01,2019-08-06,19119,PHILADELPHIA
PENN - PRESBYTERIAN APOTHECARY,PP481640,Active,2006-10-04,2006-10-04,2019-07-24,19104,PHILADELPHIA
PENN CYCLOTRON RADIOPHARMACY,PP482887,Active,2019-05-20,2019-05-17,2019-08-05,19104,PHILADELPHIA
PENN HIGHLANDS BROOKVILLE PHARMACY,HP418330L,Active,1979-10-11,2004-10-07,2019-07-22,15825,BROOKVILLE
PENN HIGHLANDS CLEARFIELD PHARMACY,HP418040L,Active,1977-07-26,2001-06-18,2019-07-22,16830,CLEARFIELD
PENN HIGHLANDS COMMUNITY PHARMACY,PP482576,Active,2015-08-11,2015-08-11,2019-07-26,15801,DU BOIS
PENN HIGHLANDS DUBOIS - EAST CAMPUS PHARMACY,HP418228L,Active,1977-07-12,2001-06-18,2019-07-22,15801,DUBOIS
PENN HIGHLANDS DUBOIS WEST CAMPUS PHARMACY,HP418057L,Active,1977-07-08,2001-06-18,2019-07-31,15801,DUBOIS
PENN HIGHLANDS ELK ST MARYS CAMPUS PHARMACY,HP418012L,Active,1977-07-18,2001-06-18,2019-07-17,15857,ST MARYS
PENN HIGHLANDS HUNTINGDON PHARMACY,HP418018L,Active,1977-08-12,2001-06-18,2019-07-22,16652,HUNTINGDON
PENN HOME IT,PP414860L,Active,1994-03-14,2001-06-18,2019-07-16,19406,KING OF PRUSSIA
PENN INVESTIGATIONAL DRUG SERVICE NORTH,PP482605,Active,2015-12-10,2015-12-10,2019-07-25,19104,PHILADELPHIA
PENN MEDICAL PHARMACY,PP482722,Active,2017-05-22,2017-05-22,2019-07-17,19067,YARDLEY
PENN MEDICINE AT RITTENHOUSE,PP481823,Active,2008-06-23,2008-06-23,2019-08-08,19146,PHILADELPHIA
PENN MEDICINE AT UNIVERSITY CITY - APOTHECARY,PP482474,Active,2014-07-01,2014-07-01,2019-07-24,19104,PHILADELPHIA
PENN MEDICINE AT UNIVERSITY CITY - PHARMACY,PP482475,Active,2014-07-01,2014-07-01,2019-07-22,19104,PHILADELPHIA
PENN MEDICINE AT VALLEY FORGE INFUSION PHARMACY,PP482341,Active,2013-01-24,2013-01-24,2019-08-20,19312,BERWYN
PENN PHARMACY,PP411805L,Active,1977-07-14,2001-06-18,2019-07-22,19602,READING
PENN PRESBYTERIAN MED CTR-HOSPITAL,HP418158L,Active,1977-08-05,2001-06-18,2019-07-19,19104,PHILADELPHIA
PENN PRESBYTERIAN MEDICAL CENTER - PHARMACY,PP481327,Active,2004-01-21,2004-01-21,2019-07-24,19104,PHILADELPHIA
PENN STATE HEALTH - MILTON S HERSHEY MEDICAL CENTER,PP482839,Active,2018-12-19,2018-12-19,2019-08-15,17603,LANCASTER
"PENN STATE HERSHEY REHABILITATION, LLC",PP482018,Active,2010-06-18,2010-06-18,2019-07-16,17036,HUMMELSTOWN
PENN STATE MILTON S HERSHEY MEDICAL CENTER,PP481908,Active,2009-06-02,2009-06-02,2019-07-26,17033,HERSHEY
PENN STATE THE MILTON S HERSHEY MEDICAL CENTER,PP481402,Active,2004-12-16,2017-09-08,2019-07-17,17033,HERSHEY
PENN TAFT PHARMACY,PP411807L,Active,1977-07-13,2001-06-18,2019-08-09,15122,WEST MIFFLIN
PENN VALLEY FORGE PHARMACY,PP482675,Active,2016-09-08,2016-09-08,2019-07-16,19312,BERWYN
PENN-LAUREL PHARMACY,PP410183L,Active,1977-07-26,2001-06-18,2019-08-15,15926,CENTRAL CITY
PENNMARK PHARMACY,PP482178,Active,2011-10-21,2011-10-21,2019-07-17,19146,PHILADELPHIA
PENNS VALLEY PHARMACY,PP412431L,Active,1981-03-18,2001-06-18,2019-08-09,16875,SPRING MILLS
PENNSBURY PHARMACY INC,PP482497,Active,2014-08-07,2014-08-07,2019-07-25,19054,LEVITTOWN
PENNSPORT MALL PHARMACY LLC,PP482611,Active,2015-12-30,2015-12-30,2019-07-21,19148,PHILADELPHIA
PENNSYLVANIA HOSPITAL OUTPATIENT PHARMACY,PP415759L,Active,2001-04-12,2001-06-18,2019-08-08,19107,PHILADELPHIA
PENNSYLVANIA HOSPITAL PHARMACY,HP418148L,Active,1977-07-25,2016-09-12,2019-08-09,19107,PHILADELPHIA
"PENTEC HEALTH, INC.",PP413743L,Active,1985-11-04,2001-06-18,2019-07-16,19061,BOOTHWYN
PERRY DRUG STORE L.L.C.,PP411854L,Active,1977-07-18,2001-06-18,2019-07-26,15473,PERRYOPOLIS
"PETNET SOLUTIONS, INC.",PP415644L,Active,2000-06-27,2003-09-17,2019-08-05,19454,NORTH WALES
PETROLIA PHARMACY,PP482155,Active,2011-06-27,2011-06-27,2019-08-01,16050,PETROLIA
PHARMACY & NUTRITION SHOPPE,PP481912,Active,2009-08-12,2009-08-12,2019-08-08,19124,PHILADELPHIA
PHARMACY DEPT OF ARAMINGO AV,PP415496L,Active,1999-04-01,2001-06-18,2019-07-18,19137,PHILADELPHIA
PHARMACY INNOVATIONS,PP481320,Active,2004-04-05,2009-09-01,2019-08-12,16505,ERIE
PHARMACY OF AMERICA,PP481921,Active,2009-05-08,2009-05-08,2019-07-17,19124,PHILADELPHIA
PHARMACY OF AMERICA II,PP482067,Active,2010-09-02,2010-09-02,2019-07-17,19149,PHILADELPHIA
PHARMACY OF AMERICA III,PP482270,Active,2012-04-05,2012-04-05,2019-07-19,19133,PHILADELPHIA
PHARMACY OF AMERICA IV,PP482394,Active,2013-09-23,2013-09-23,2019-07-17,19122,PHILADELPHIA
PHARMACY OF AMERICA V,PP482395,Active,2013-06-21,2013-06-21,2019-07-17,19123,PHILADELPHIA
PHARMACY OF AMERICA VI,PP482528,Active,2014-11-25,2014-11-25,2019-07-17,19111,PHILADELPHIA
PHARMACY OF AMERICA VII,PP482644,Active,2016-05-02,2016-05-02,2019-07-19,19140,PHILADELPHIA
PHARMACY OF HATBORO,PP482604,Active,2015-12-08,2015-12-08,2019-07-19,19040,HATBORO
PHARMACY OF NEWTOWN,PP482746,Active,2017-08-24,2017-08-24,2019-08-06,18940,NEWTOWN
PHARMACY OF NORRISTOWN,PP482704,Active,2017-01-26,2017-01-26,2019-07-29,19401,NORRISTOWN
PHARMALOGIC PENN LTD,PP415067L,Active,1995-08-22,2001-06-18,2019-07-16,18840,SAYRE
PHARMBLUE LLC,PP482344,Active,2013-02-05,2013-02-05,2019-07-17,15086,WARRENDALE
PHARMERICA,PP416519L,Active,1977-09-22,2001-06-18,2019-07-16,19533,LEESPORT
PHARMERICA,PP481250,Active,2003-06-03,2003-06-03,2019-07-16,16148,HERMITAGE
PHARMERICA,PP414220L,Active,1989-08-25,2001-06-18,2019-07-16,15601,GREENSBURG
PHARMERICA,PP416510L,Active,1982-06-24,2001-06-18,2019-07-16,18706,WILKES BARRE
PHARMERICA,PP415341L,Active,1997-11-14,2015-07-01,2019-07-16,17112,HARRISBURG
PHAR-MORE RX LLC,PP482797,Active,2018-06-21,2018-06-21,2019-08-12,19004,BALA CYNWYD
PHARMSCRIPT OF PA LLC,PP482621,Active,2016-02-16,2016-02-16,2019-07-22,16066,CRANBERRY TOWNSHIP
PHARMSV A PATIENT/ASSOCIATE PHARMACY,PP481816,Active,2008-06-09,2008-06-09,2019-07-22,16544,ERIE
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #6,HP418325L,Active,1979-04-12,2013-09-03,2019-07-26,19123,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #10,HP418337L,Active,1980-04-16,2013-09-03,2019-07-26,19149,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #2,HP418339L,Active,1980-08-05,2016-04-21,2019-07-26,19145,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #3,HP418344L,Active,1980-10-14,2013-09-03,2019-07-26,19104,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #4,HP418324L,Active,1979-04-12,2013-09-03,2019-07-26,19104,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #5,HP418342L,Active,1980-07-01,2013-09-03,2019-07-26,19121,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY HEALTH CENTER #9,HP418356L,Active,1984-04-06,2013-09-03,2019-07-26,19144,PHILADELPHIA
PHILADELPHIA DEPT OF PUBLIC HEALTH PHARMACY STRAWBERRY MANSION HEALTH CENTER,PP413927L,Active,1987-05-22,2013-09-03,2019-07-26,19132,PHILADELPHIA
PHILADELPHIA DISCOUNT PHARMACY LLC,PP482812,Active,2018-08-24,2018-08-24,2019-07-31,19115,PHILADELPHIA
PHILADELPHIA PHARMACY,PP481164,Active,2002-07-15,2002-07-15,2019-07-22,19125,PHILADELPHIA
PHILHAVEN HOSPITAL PHARMACY,HP417104L,Active,1995-09-07,2001-06-18,2019-08-01,17064,MT GRETNA
PHILIP E PEPPER INC,PP411847L,Active,1977-07-11,2001-06-18,2019-08-14,19050,LANSDOWNE
PHILLY DRUGSTORE,PP410620L,Active,1977-10-03,2003-05-14,2019-07-16,19133,PHILADELPHIA
PHILLY METRO PHARMACY,PP482159,Active,2011-11-04,2011-11-04,2019-08-05,19144,PHILADELPHIA
PHILLY PHARMACY,PP482144,Active,2011-05-13,2016-06-07,2019-07-24,19115,PHILADELPHIA
PHILS PHARMACY,PP411866L,Active,1977-07-12,2001-06-18,2019-08-06,15140,PITCAIRN
